RunId,iteration,Step,number_of_households,number_of_steps,flood_map_choice,network,TotalAdaptedHouseholds,TotalActualDamage,TotalExpectedDamage,TotalAdaptationCosts,TotalCostsOfSubsidies,AverageDamagePerPoorHousehold,AverageDamagePerMiddleClassHousehold,AverageDamagePerRichHousehold,AverageIncomeToDamagePoorHousehold,AverageIncomeToDamageMiddleClassHousehold,AverageIncomeToDamageRichHousehold
161,53,2,1000,80,500yr,watts_strogatz,173,30565058.024224345,32670329.861192938,475265,0,16625.331345735216,30032.227055486692,66199.52856588471,3.3429098635079777,1.0125291442808286,0.7850016975698859
160,53,17,1000,80,100yr,watts_strogatz,313,14911907.989268394,16067886.244350743,1585685,0,8088.980605584629,14986.962816543579,30398.214132717585,1.6147528814540362,0.5237536369761749,0.35777974475041896
157,52,57,1000,80,100yr,watts_strogatz,326,15317152.184042448,16653311.499117913,2284815,0,9129.972215649492,15043.635107649929,31991.747783473893,1.8332661717740728,0.5183294232577572,0.3711720530046089
163,54,6,1000,80,100yr,watts_strogatz,281,17366050.45942467,18375457.25169234,1357070,0,11308.774003856659,14738.167054385069,49636.87317389186,2.3225761321061213,0.5085954823743624,0.5771451412095481
158,52,74,1000,80,500yr,watts_strogatz,403,20003105.948990572,21183599.04655474,2798275,0,12513.926607965044,20182.542558780617,40172.16817567368,2.4897517606321187,0.6946045440623275,0.45401976439797515
162,54,43,1000,80,harvey,watts_strogatz,614,52152420.27869986,55310147.89651972,3792720,0,24594.600496203297,50927.86668377145,129796.56608760296,5.030448929822317,1.7707258970826858,1.4666802349959949
164,54,48,1000,80,500yr,watts_strogatz,388,19444040.722862635,20774669.29003461,2836930,0,9371.690021523824,19388.08335530055,46548.86728682581,1.86930674106884,0.6497322659989281,0.5247957941100689
166,55,32,1000,80,100yr,watts_strogatz,336,15408212.74798824,16500237.801610494,1675210,0,8752.62602582288,15497.940233350531,32375.27055679421,1.6846480822295193,0.5183416117381623,0.38231660738952394
168,56,10,1000,80,harvey,watts_strogatz,552,51116170.59009718,54100481.896603495,2466400,0,25882.978732845233,51012.479212217615,109223.78551096335,5.0238816584946635,1.7196250325488807,1.2481219955181628
167,55,34,1000,80,500yr,watts_strogatz,412,18040256.704394437,19349409.09485225,2210325,0,8569.09437224339,19466.78744262428,31916.346745079798,1.7581561129495011,0.6693750789861018,0.36223732761530864
171,57,2,1000,80,harvey,watts_strogatz,285,60325525.02345521,64057070.89569116,857890,0,36574.566444796765,61110.47530843464,130208.13588600088,7.003309018244343,2.0499775465081327,1.5363950209342783
165,55,76,1000,80,harvey,watts_strogatz,540,45688566.51948209,48455356.45029276,4920615,0,25904.74768106532,45252.43215458254,103404.70751765686,5.091823483065866,1.5449867602413805,1.1875697884647962
169,56,22,1000,80,100yr,watts_strogatz,300,14606944.452494998,15612858.68313276,1510740,0,9210.637930609311,13111.013869794971,34283.278268699556,1.798125974246241,0.4442477873967728,0.3957465438641495
173,57,22,1000,80,500yr,watts_strogatz,380,22457493.768731624,23966431.93741095,1804980,0,13248.10669490972,21516.868645546634,45106.61051117445,2.6080041133432688,0.7248169295683591,0.49423690128247644
170,56,45,1000,80,500yr,watts_strogatz,425,20645189.1869702,21981549.903208666,2288820,0,9790.608062879683,20065.67389399058,52696.808009205044,1.9712326015068893,0.6950994210464074,0.6104430895408557
175,58,33,1000,80,100yr,watts_strogatz,313,18467205.05959512,19966796.834664736,1583910,0,8125.755035435079,16385.074722623594,51675.166507367685,1.656277752040686,0.5563656330589131,0.6013194987106335
174,58,67,1000,80,harvey,watts_strogatz,595,47437479.29157515,50773548.97839132,4938215,0,23658.25992608426,42026.49475754508,133460.50184224558,4.639054218315619,1.4219142208018087,1.5445280621400932
172,57,79,1000,80,100yr,watts_strogatz,330,14964963.303967586,16040448.32285058,1705845,0,9129.934385338394,13919.41457934528,38285.31959023085,1.826243240269709,0.4784495735799408,0.43958140795791295
178,59,13,1000,80,100yr,watts_strogatz,280,13662580.295658382,14623778.14041776,1289070,0,8791.880494011948,14224.750985494273,22144.65567385795,1.7952155927332696,0.48353002965732467,0.24795788646821262
